ngo_name,aliases,scrape_priority,url,url_type,depth_limit
Aliance pro energetickou sobestacnost,"AliES;Aliance energetická soběstačnost",1,https://www.alies.cz/,homepage,5
Arnika,,1,https://www.arnika.org/,homepage,5
Autoklub CR,,1,https://www.autoklub.cz/,homepage,5
Beleco,,1,https://beleco.cz/,homepage,5
Calla - Sdruzeni pro zachranu prostredi,"Calla;CALLA;Calla - Sdružení pro záchranu prostředí",1,https://www.calla.cz/,homepage,5
Centrum pro dopravu a energetiku,"CDE;Centrum pro dopravu a energetiku",1,https://www.cde-org.cz/cs/,homepage,5
CI2,,1,https://ci2.co.cz/cs,homepage,5
Cesky svaz ochrancu prirody,"CSOP;Český svaz ochránců přírody",1,https://csop.cz/,homepage,5
Ekologicky institut Veronica,"Veronica;VERONICA;Ekologický institut Veronica",1,https://www.veronica.cz/,homepage,5
Extinction Rebellion [Posledni generace],"Extinction Rebellion;XR;Poslední generace;Posledni generace",1,https://www.extinctionrebellion.cz/,homepage,5
Fakta o klimatu,,1,https://faktaoklimatu.cz/,homepage,5
Frank Bold,"Frank Bold Society",1,https://frankbold.org/,homepage,5
Fridays for Future,"FFF;Fridays For Future",1,https://www.fridaysforfuture.cz/,homepage,5
Greenpeace CR,"Greenpeace;Greenpeace ČR;Greenpeace Česká republika",1,https://www.greenpeace.org/czech/,homepage,5
Hnuti Duha,"Hnutí Duha;Hnutí DUHA;DUHA",1,https://www.hnutiduha.cz/,homepage,5
Klimaticka koalice,"Klimatická koalice",1,https://klimatickakoalice.cz/,homepage,5
Limity jsme my,,1,https://limityjsmemy.cz/,homepage,5
Nesehnuti,"Nesehnutí;NESEHNUTÍ",1,https://nesehnuti.cz/,homepage,5
Zeleny kruh,"Zelený kruh",1,https://zelenykruh.cz/,homepage,5
