aes,arn,aut,bel,cal,cde,cit,upe,ver,ext,fct,frb,fff,grp,foe,ccc,lau,nes,grn
0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1
1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1
1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1
0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1
0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1
0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1
0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1
0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1
1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1
1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0
0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1
1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0
