ngo_name,code,compon_id,in_dataset
Aliance pro energetickou sobestacnost,aes,CZ004,no
Arnika,arn,CZ009,yes
Autoklub CR,aut,CZ010,yes
Beleco,bel,CZ011,yes
Calla - Sdruzeni pro zachranu prostredi,cal,CZ015,yes
Centrum pro dopravu a energetiku,cde,CZ020,yes
CI2,cit,CZ031,yes
Cesky svaz ochrancu prirody,upe,CZ126,yes
Ekologicky institut Veronica,ver,CZ129,yes
Extinction Rebellion [Posledni generace],ext,CZ136,yes
Fakta o klimatu,fct,CZ137,yes
Frank Bold,frb,CZ052,yes
Fridays for Future,fff,CZ138,yes
Greenpeace CR,grp,CZ057,yes
Hnuti Duha,foe,CZ051,yes
Klimaticka koalice,ccc,CZ019,yes
Limity jsme my,lau,CZ139,yes
Nesehnuti,nes,CZ087,yes
Zeleny kruh,grn,CZ056,yes
