"network","actor","in_degree","out_degree","betweenness","closeness_in","closeness_out","eigenvector","authority","hub"
"COMPON 2025","ver",10,16,0.1697,0.7083,0.9,0.6921,0.6584,0.9727
"COMPON 2025","cal",11,14,0.0966,0.7391,0.8182,0.826,0.7668,0.988
"COMPON 2025","ccc",13,13,0.0923,0.8095,0.7826,0.908,0.8539,0.9234
"COMPON 2025","foe",13,13,0.0801,0.8095,0.7826,0.9919,0.8771,0.9369
"COMPON 2025","grn",12,11,0.0401,0.7727,0.72,0.8965,0.8902,0.8225
"COMPON 2025","grp",6,15,0.0369,0.6071,0.8571,0.4499,0.4874,1
"COMPON 2025","fff",11,9,0.029,0.7391,0.6667,0.8569,0.8344,0.692
"COMPON 2025","fct",14,5,0.0148,0.85,0.5294,1,1,0.4
"COMPON 2025","cde",9,7,0.012,0.68,0.5806,0.7561,0.6968,0.5364
"COMPON 2025","frb",11,7,0.0116,0.7391,0.6,0.8819,0.8595,0.5395
"COMPON 2025","nes",10,5,0.0054,0.7083,0.5806,0.7061,0.7993,0.4132
"COMPON 2025","arn",7,11,0.0049,0.6296,0.6923,0.5421,0.6178,0.8747
"COMPON 2025","lau",11,5,0.0031,0.7391,0.5625,0.7938,0.8788,0.4161
"COMPON 2025","ext",3,9,0.0011,0.4857,0.6667,0.2167,0.2586,0.7102
"COMPON 2025","bel",3,9,4e-04,0.5312,0.6207,0.2367,0.2826,0.7218
"COMPON 2025","cit",3,2,3e-04,0.5152,0.5294,0.2222,0.2811,0.1479
"COMPON 2025","aes",3,2,0,0.5484,0.4865,0.2645,0.2374,0.1728
"COMPON 2025","aut",1,0,0,0.4286,NA,0.075,0.0944,0
"COMPON 2025","upe",4,2,0,0.5667,0.5143,0.3105,0.3672,0.1502
"LLM 2025","grp",6,11,0.0808,0.8,0.8667,0.8256,0.823,0.9762
"LLM 2025","grn",6,10,0.0587,0.8,0.8125,0.9696,0.7995,0.9732
"LLM 2025","arn",5,7,0.0433,0.7273,0.65,0.7952,0.7305,0.7223
"LLM 2025","nes",5,7,0.0196,0.7273,0.6842,0.7952,0.8443,0.6226
"LLM 2025","ccc",4,10,0.0181,0.6154,0.8125,0.6565,0.6476,0.985
"LLM 2025","cde",3,10,0.0092,0.5714,0.8125,0.5179,0.532,1
"LLM 2025","foe",7,1,0.0025,0.8889,0.4643,1,1,0.1036
"LLM 2025","aes",0,0,0,NA,NA,0,0,0
"LLM 2025","aut",0,0,0,NA,NA,0,0,0
"LLM 2025","bel",5,1,0,0.7273,0.4062,0.7952,0.8443,0.0946
"LLM 2025","cal",5,0,0,0.6923,NA,0.7952,0.8443,0
"LLM 2025","cit",0,0,0,NA,NA,0,0,0
"LLM 2025","upe",3,0,0,0.5625,NA,0.5407,0.4203,0
"LLM 2025","ver",0,0,0,NA,NA,0,0,0
"LLM 2025","ext",0,0,0,NA,NA,0,0,0
"LLM 2025","fct",2,0,0,0.4286,NA,0.2481,0.3599,0
"LLM 2025","frb",1,2,0,0.4706,0.5,0.1744,0.177,0.2362
"LLM 2025","fff",2,0,0,0.5,NA,0.3424,0.2899,0
"LLM 2025","lau",5,0,0,0.6429,NA,0.7952,0.8262,0
"LLM 2024+2025","grp",7,12,0.1217,0.7333,0.875,0.8467,0.8253,1
"LLM 2024+2025","grn",8,11,0.0999,0.7333,0.8235,0.9848,0.8429,0.9484
"LLM 2024+2025","arn",5,7,0.0474,0.6111,0.6667,0.6653,0.6854,0.6766
"LLM 2024+2025","frb",4,2,0.0425,0.5789,0.5,0.5184,0.4183,0.2278
"LLM 2024+2025","cal",5,5,0.0398,0.6111,0.6087,0.6653,0.7886,0.3939
"LLM 2024+2025","nes",5,7,0.0207,0.6111,0.6364,0.6653,0.7886,0.5885
"LLM 2024+2025","cde",4,10,0.0202,0.55,0.7778,0.6146,0.5346,0.9494
"LLM 2024+2025","foe",8,2,0.0123,0.7857,0.5,1,1,0.1719
"LLM 2024+2025","ccc",4,10,0.009,0.55,0.7778,0.5633,0.609,0.9402
"LLM 2024+2025","fct",3,1,0.0016,0.5238,0.35,0.3665,0.5047,0.0522
"LLM 2024+2025","aes",0,0,0,NA,NA,0,0,0
"LLM 2024+2025","aut",0,0,0,NA,NA,0,0,0
"LLM 2024+2025","bel",5,1,0,0.6111,0.4118,0.6653,0.7886,0.0855
"LLM 2024+2025","cit",0,0,0,NA,NA,0,0,0
"LLM 2024+2025","upe",3,1,0,0.5,0.4667,0.4192,0.3867,0.1052
"LLM 2024+2025","ver",1,0,0,0.4,NA,0.1204,0.0688,0
"LLM 2024+2025","ext",0,0,0,NA,NA,0,0,0
"LLM 2024+2025","fff",2,0,0,0.4615,NA,0.2737,0.2775,0
"LLM 2024+2025","lau",5,0,0,0.5714,NA,0.6653,0.7732,0
"LLM 2016-2025","grn",8,13,0.1147,0.6842,0.8421,0.9104,0.8701,0.8974
"LLM 2016-2025","grp",8,13,0.0836,0.6842,0.8421,0.9385,0.8812,0.8974
